album,album_type,track_number,id_track,name,popularity,explicit,duration_ms,release_date,artists
Meu Lugar,album,6,5PC5b7Nz8cNYg5H6iErKJo,Eu sou assim - Ao vivo,24,False,324224,2014-06-03,['Anitta']
Meu Lugar,album,7,4ml0FnLsmuuBhLEJgJhAU4,Fica só olhando - Ao vivo,25,False,243217,2014-06-03,['Anitta']
Meu Lugar,album,8,4EGy87IWtdUyDarWVadga7,Ritmo perfeito - Ao vivo,29,False,174940,2014-06-03,['Anitta']
Meu Lugar,album,9,1f8fefSKc2291T8ZKNG0A9,Achei / Príncipe de vento - Ao vivo,24,False,257456,2014-06-03,['Anitta']
Meu Lugar,album,10,3DHPD0hBeyaHXGxmNVGqx6,Zen - Ao vivo,27,False,164555,2014-06-03,['Anitta']
Meu Lugar,album,11,0970jjl5Z0tpjGt77s7ZwZ,Quem sabe - Ao vivo,23,False,223958,2014-06-03,['Anitta']
Meu Lugar,album,12,1tCpb2si0PJdNdBIflPOF7,Musica de amor - Ao vivo,23,False,186885,2014-06-03,['Anitta']
Meu Lugar,album,13,0kqtyu6GLI2RGdanxn7Ne8,Cobertor (Participação especial de Projota) - Ao vivo,31,False,186473,2014-06-03,['Anitta']
Meu Lugar,album,14,3Bvt2l2PGkqQ4waaX5RyW2,Mulher (Participação especial de Projota) - Ao vivo,28,False,182051,2014-06-03,['Anitta']
Meu Lugar,album,15,6SClTQ3mFyX4lOCTIgPhgD,Eu vou ficar - Remix; Ao vivo,23,False,151057,2014-06-03,['Anitta']
Meu Lugar,album,16,6sxNJnbyuAZN4ySyLrJOvH,Tá na mira - Ao vivo,24,False,186559,2014-06-03,['Anitta']
Meu Lugar,album,17,1Mja4CZ4Ic3NlXLOyey6Uq,Meiga e abusada - Ao vivo,28,False,227823,2014-06-03,['Anitta']
Meu Lugar,album,18,1D8h1U6pkJxrzn0JSsY4aC,Na batida - Ao vivo,31,False,161601,2014-06-03,['Anitta']
Meu Lugar,album,19,2loApP0kPaim0BTDVP9F26,Movimento da sanfoninha - Ao vivo,57,False,176608,2014-06-03,['Anitta']
Meu Lugar,album,20,7fMCygGG9f0JrNXqGvePNF,No meu talento - Ao vivo,26,False,164556,2014-06-03,['Anitta']
Meu Lugar,album,21,7waJ0wcUDjR7d6ilnOZN4l,Blá blá blá - Ao vivo,26,False,172581,2014-06-03,['Anitta']
Meu Lugar,album,22,2dhd2YLYfGCwFwUPBQYx7S,Show das Poderosas - Ao vivo,25,False,259127,2014-06-03,['Anitta']
Meu Lugar,album,23,3wue6Z582aDvNM6YX6iet2,Vai e volta,22,False,172327,2014-06-03,['Anitta']
Meu Lugar,album,24,3cVDwY9QxKlNVDnkUXrhJM,Na batida,30,False,163568,2014-06-03,['Anitta']
Meu Lugar,album,25,3cee22xqLsfE9hAjcxx20e,Musica de amor,22,False,185644,2014-06-03,['Anitta']
Meu Lugar,album,26,34tdjX7GI0wLCC2gLkRz4z,Cobertor (Participação especial de Projota),25,False,184259,2014-06-03,"['Anitta', 'Projota']"
Meu Lugar,album,27,3FLEJ66KjOtGZ0LqvcHx03,Mulher (Participação especial de Projota),21,False,165329,2014-06-03,"['Anitta', 'Projota']"
Meu Lugar,album,28,1KpNie4Mbh2TBkEjgQTICT,Blá blá blá,42,False,173251,2014-06-03,['Anitta']
Meu Lugar,album,29,4Z7ZcOmszmcvknxiZIW4PN,Quem sabe,20,False,223513,2014-06-03,['Anitta']
Meu Lugar,album,30,44hhNKXZEEeA9JrxwlVe2r,No meu talento,26,False,164802,2014-06-03,['Anitta']
Meu Lugar,album,31,2NOTK05utxufaTUs20CvQu,Ritmo perfeito,22,False,176421,2014-06-03,['Anitta']
Ritmo Perfeito,album,1,59LD1epqw721Bt4aPuYaRk,Na batida,48,False,163568,2014-06-03,['Anitta']
Ritmo Perfeito,album,2,32sOGrAJfrL9x8xipYic7X,Ritmo perfeito,45,False,176421,2014-06-03,['Anitta']
Ritmo Perfeito,album,3,70a6mGZbNFPyvGBjtOALSS,Musica de amor,31,False,185644,2014-06-03,['Anitta']
Ritmo Perfeito,album,4,1EU5suqjDDFtYZ7Y72wyMS,Cobertor (Participação especial de Projota),51,False,184259,2014-06-03,"['Anitta', 'Projota']"
Ritmo Perfeito,album,5,2TbI4gmIBQfS3WsQCgO9nM,Mulher (Participação especial de Projota),32,False,165329,2014-06-03,"['Anitta', 'Projota']"
Ritmo Perfeito,album,6,7jRUdZeS3OmEwVcNpA9eBZ,No meu talento,34,False,164802,2014-06-03,['Anitta']
Ritmo Perfeito,album,7,46O4u2gtLI42BP3qjizCyd,Blá blá blá,34,False,173251,2014-06-03,['Anitta']
Ritmo Perfeito,album,8,2a70mgPFzlOgnF3i7cxO7l,Quem sabe,26,False,223513,2014-06-03,['Anitta']
Ritmo Perfeito,album,9,0EbCr1zJ6ucBieuNBd9Z9T,Vai e volta,26,False,172327,2014-06-03,['Anitta']
Ritmo Perfeito,album,10,4Gqnv8bnvVfYrGbu3MuuYi,Blá blá blá - Extended Remix,22,False,205594,2014-06-03,['Anitta']
Ritmo Perfeito,album,11,2D1SDJrpfNQBk5zx1ADCiO,Zen (feat. Rasel),37,False,168441,2014-06-03,"['Anitta', 'Rasel']"
Ritmo Perfeito,album,12,0SJp4OIdSFE4xenhlGoKLU,No meu talento - Participação especial de MC Guimê,39,False,178164,2014-06-03,"['Anitta', 'MC Guime']"
Anitta,album,1,28aUFtkMnJaqNQkLHR0weV,Show das Poderosas,52,False,150933,2013-02-06,['Anitta']
Anitta,album,2,6jFCFrcstrdTP2XPkBfV1F,Meiga e abusada,53,False,229320,2013-02-06,['Anitta']
Anitta,album,3,27F7WwbBtChELVo97qrvLg,Tá na mira,46,False,171360,2013-02-06,['Anitta']
Anitta,album,4,1aUUrBmdIYN7FvIzHdpisn,Zen,48,False,165106,2013-02-06,['Anitta']
Anitta,album,5,3zX00Xzg6XUhWkORpeWViA,Achei,30,False,161573,2013-02-06,['Anitta']
Anitta,album,6,1fmLpwCRHqiuJw22mwrBZG,Menina má,48,False,175626,2013-02-06,['Anitta']
Anitta,album,7,0lNvwuvutKjdXIo8XOiow4,Principe de vento,40,False,149680,2013-02-06,['Anitta']
Anitta,album,8,4FWS2ZhM5Y0XUZiSuYrwoA,Não para,42,False,193613,2013-02-06,['Anitta']
Anitta,album,9,7m0KBWVdTwYzcD5bsCPpHS,Eu sou assim,32,False,183933,2013-02-06,['Anitta']
Anitta,album,10,4jIhTSgq472p9JmFMt5AFj,Fica só olhando,39,False,166266,2013-02-06,['Anitta']
Anitta,album,11,2qnKP16MaAETWKkR244CWG,Proposta,33,False,167773,2013-02-06,['Anitta']
Anitta,album,12,2FElnuWZBfi3iqrFHQqzg3,Cachorro eu tenho em casa,33,False,151546,2013-02-06,['Anitta']
Anitta,album,13,4aV7Q5eYHcxWq8kYIY1lRj,Som do coração,28,False,198893,2013-02-06,['Anitta']
"DANÇARINA (feat. Nicky Jam, MC Pedrinho) [Remix]",single,1,5QQKWOwPjG9vcDBTQ5Hv5Q,"DANÇARINA (feat. Nicky Jam, MC Pedrinho) - Remix",67,False,212000,2022-06-10,"['PEDRO SAMPAIO', 'Anitta', 'Dadju', 'Mc Pedrinho', 'Nicky Jam']"
"DANÇARINA (feat. Nicky Jam, MC Pedrinho) [Remix]",single,2,1To6ufcQ8tWNjX6c8DKbvv,DANÇARINA,49,False,110222,2022-06-10,"['PEDRO SAMPAIO', 'Mc Pedrinho']"
Envolver Remix,single,1,4B7mXGdCLQFulSxPTIEjPu,Envolver Remix,76,False,182863,2022-02-17,"['Anitta', 'Justin Quiles']"
Boys Don't Cry,single,1,35COLcFjvONwVv6jkG23gI,Boys Don't Cry,73,False,136011,2022-01-27,['Anitta']
NO CHÃO NOVINHA,single,1,7ARoqP7G8UYW8SyYPyPp7k,NO CHÃO NOVINHA,74,False,136901,2021-12-09,"['Anitta', 'PEDRO SAMPAIO']"
Envolver,single,1,3IAfUEeaXRX9s9UdKOJrFI,Envolver,90,False,193805,2021-11-11,['Anitta']
Faking Love (feat. Saweetie),single,1,3V7jLMYvvg4BHi4tmDveNc,Faking Love (feat. Saweetie),67,True,148577,2021-10-14,"['Anitta', 'Saweetie']"
Faking Love (feat. Saweetie),single,1,3V7jLMYvvg4BHi4tmDveNc,Faking Love (feat. Saweetie),67,True,148577,2021-10-14,"['Anitta', 'Saweetie']"
La Mamá de la Mamá (Remix),single,1,72LVZma2Bd7Y6imwoSecR6,La Mamá de la Mamá (Remix),53,False,258923,2021-07-30,"['El Alfa', 'Anitta', 'Busta Rhymes', 'CJ', 'El Cherry Scom', 'Wisin']"
SexToU,single,1,0RMpa3qNoB6rlVyhRmwwVO,SexToU,62,False,175478,2021-07-15,"['Rennan da Penha', 'Anitta']"
Girl From Rio (Snakehips Remix),single,1,398pC5QzPRGvxWog8ZM8PG,Girl From Rio - Snakehips Remix,41,False,191834,2021-06-25,"['Anitta', 'Snakehips']"
Girl From Rio (Snakehips Remix),single,2,7lWpfLZVdaN9wm6O5Gpyjk,Girl From Rio,25,False,194421,2021-06-25,['Anitta']
Furiosa,single,1,3AuBvhpKxvDynlPFwbaqJF,Furiosa,48,False,153606,2021-06-18,['Anitta']
Girl From Rio (feat. DaBaby) [TroyBoi Remix],single,1,61xT9TolMVV2SNvRpUf12E,Girl From Rio (feat. DaBaby) - TroyBoi Remix,30,False,219166,2021-06-11,"['Anitta', 'DaBaby', 'TroyBoi']"
Girl From Rio (feat. DaBaby) [TroyBoi Remix],single,2,1mhLcPOLuVZRlwHL8JRufR,Girl From Rio (feat. DaBaby),26,False,195428,2021-06-11,"['Anitta', 'DaBaby']"
Mon soleil,single,1,5iwsC32iiJ1IqJgcg6vkiI,Mon soleil,60,False,190757,2021-06-02,"['Dadju', 'Anitta']"
Girl From Rio (feat. DaBaby),single,1,6CF085Ol0cVda1WqelybEQ,Girl From Rio (feat. DaBaby),52,False,195428,2021-05-21,"['Anitta', 'DaBaby']"
Girl From Rio (feat. DaBaby),single,2,2QvmHP2688sFJJNeuSgq9X,Girl From Rio,27,False,194421,2021-05-21,['Anitta']
Girl From Rio,single,1,2plRom0urixt6BE8t7kOhQ,Girl From Rio,61,False,194421,2021-04-29,['Anitta']
Loco,single,1,3cNKhoBUhyuXhQTdQjOiT8,Loco,55,False,157323,2021-01-29,['Anitta']
Me Gusta [Remix (feat. Cardi B & 24kGoldn)],single,1,6vrsT2dvgbttZXmPYNfY8i,Me Gusta - Remix (feat. Cardi B & 24kGoldn),52,True,164791,2020-11-20,"['Anitta', 'Cardi B', '24kGoldn']"
Me Gusta [Remix (feat. Cardi B & 24kGoldn)],single,1,6vrsT2dvgbttZXmPYNfY8i,Me Gusta - Remix (feat. Cardi B & 24kGoldn),52,True,164791,2020-11-20,"['Anitta', 'Cardi B', '24kGoldn']"
Amor Real (Holiday Song),single,1,6532nOWtuYIzYaN44pcrHy,Amor Real - Holiday Song,25,False,185454,2020-11-06,['Anitta']
Me Gusta (with Cardi B & Myke Towers),single,1,7e1VoRlNumuEkXlITMHKLE,Me Gusta (with Cardi B & Myke Towers),64,False,180788,2020-09-18,"['Anitta', 'Myke Towers', 'Cardi B']"
